"year","geoid","ZIP_code","title_field","value"
"2013","86000US07306","07306","Female 35 to 39 years",1933
"2013","86000US07306","07306","Female 40 to 44 years",1678
"2013","86000US07306","07306","Female 45 to 49 years",1517
"2013","86000US07306","07306","Female 50 to 54 years",1591
"2013","86000US07306","07306","Female 55 to 59 years",1482
"2013","86000US07306","07306","Female 60 and 61 years",455
"2013","86000US07306","07306","Female 62 to 64 years",577
"2013","86000US07306","07306","Female 65 and 66 years",427
"2013","86000US07306","07306","Female 67 to 69 years",469
"2013","86000US07306","07306","Female 70 to 74 years",718
"2013","86000US07306","07306","Female 75 to 79 years",506
"2013","86000US07306","07306","Female 80 to 84 years",404
"2013","86000US07306","07306","Female 85 years and over",392
"2013","86000US07306","07306","Total Population in Households",52652
"2013","86000US07306","07306","In family households",40632
"2013","86000US07306","07306","In family households - In married-couple family",26792
"2013","86000US07306","07306","In family households - In married-couple family - Relatives",26407
"2013","86000US07306","07306","In family households - In married-couple family - Nonrelatives",385
"2013","86000US07306","07306","In family households - In male householder, no wife present, family",3704
"2013","86000US07306","07306","In family households - In male householder, no wife present, family - Relatives",3228
"2013","86000US07306","07306","In family households - In male householder, no wife present, family - Nonrelatives",476
"2013","86000US07306","07306","In family households - In female householder, no husband present, family",10136
"2013","86000US07306","07306","In family households - In female householder, no husband present, family - Relatives",9792
"2013","86000US07306","07306","In family households - In female householder, no husband present, family - Nonrelatives",344
"2013","86000US07306","07306","In nonfamily households",12020
"2013","86000US07306","07306","Total Population 25 Years and over",36466
"2013","86000US07306","07306","Male Population 25 Years and over",18849
"2013","86000US07306","07306","Male - No schooling completed",286
"2013","86000US07306","07306","Male - Nursery to 4th grade",42
"2013","86000US07306","07306","Male - 5th and 6th grade",306
"2013","86000US07306","07306","Male - 7th and 8th grade",680
"2013","86000US07306","07306","Male - 9th grade",323
"2013","86000US07306","07306","Male - 10th grade",485
"2013","86000US07306","07306","Male - 11th grade",391
"2013","86000US07306","07306","Male - 12th grade, no diploma",202
"2013","86000US07306","07306","Male - High school graduate, GED, or alternative",4572
"2013","86000US07306","07306","Male - Some college, less than 1 year",659
"2013","86000US07306","07306","Male - Some college, 1 or more years, no degree",2208
"2013","86000US07306","07306","Male - Associate's degree",570
"2013","86000US07306","07306","Male - Bachelor's degree",5343
"2013","86000US07306","07306","Male - Master's degree",2331
"2013","86000US07306","07306","Male - Professional school degree",332
"2013","86000US07306","07306","Male - Doctorate degree",119
"2013","86000US07306","07306","Female Population 25 Years and over",17617
